ano,mes,dia,trim,cb,rangocb,rangocb2,AREA,cpt,CPUE1,CPUE2,lncpue1,lncpue2,cexito,SinDatosExp,origen 
2007,4,9,2,50.5,4,3,B,,0,0.01,,-4.605170186,0,,
2007,8,17,3,55,4,3,B,4.1,4.1,4.11,1.410986974,1.413423029,1,,
2007,8,18,3,56,4,3,B,,0,0.01,,-4.605170186,0,,
2007,8,18,3,42,3,2,B,,0,0.01,,-4.605170186,0,,
2007,8,18,3,67,5,3,B,10.4,10.4,10.41,2.341805806,2.342766883,1,,
2007,8,20,3,38,2,2,B,,0,0.01,,-4.605170186,0,,
2007,8,20,3,38.8,2,2,B,,0,0.01,,-4.605170186,0,,
2007,10,18,4,23,1,1,B,9.5,9.5,9.51,2.251291799,2.252343877,1,,
2007,10,18,4,67,5,3,B,30,30,30.01,3.401197382,3.401530659,1,,
2007,10,22,4,76,6,4,C,,0,0.01,,-4.605170186,0,,
2007,4,27,2,67,5,3,C,0.6,0.6,0.61,-0.510825624,-0.494296322,1,,
2007,8,18,3,65,5,3,C,12,12,12.01,2.48490665,2.485739636,1,,
2007,8,18,3,60,4,3,C,30,30,30.01,3.401197382,3.401530659,1,,
2007,8,18,3,70,5,3,C,40,40,40.01,3.688879454,3.689129423,1,,
2007,9,12,3,42,3,2,C,,0,0.01,,-4.605170186,0,,
2007,8,18,3,23,1,1,C,1.9,1.9,1.91,0.641853886,0.647103242,1,,
2007,9,21,3,57,4,3,C,0.2,0.2,0.21,-1.609437912,-1.560647748,1,,
2007,11,15,4,46,3,2,B,24.3,24.3,24.31,3.19047635,3.190887788,1,,
2007,1,19,1,60,4,3,B,,0,0.01,,-4.605170186,0,,
2007,1,25,1,60,4,3,B,,0,0.01,,-4.605170186,0,,
2007,1,25,1,60,4,3,B,,0,0.01,,-4.605170186,0,,
2007,1,27,1,57,4,3,B,,0,0.01,,-4.605170186,0,,
2007,1,29,1,57,4,3,B,,0,0.01,,-4.605170186,0,,
2007,1,30,1,60,4,3,B,,0,0.01,,-4.605170186,0,,
2007,3,16,1,38.8,2,2,B,,0,0.01,,-4.605170186,0,,
2007,3,17,1,38.8,2,2,B,,0,0.01,,-4.605170186,0,,
2007,7,12,3,67,5,3,B,4.4,4.4,4.41,1.481604541,1.483874689,1,,
2007,7,12,3,67,5,3,B,4.4,4.4,4.41,1.481604541,1.483874689,1,,
2007,7,14,3,67,5,3,B,3.1,3.1,3.11,1.131402111,1.134622726,1,,
2007,10,18,4,65,5,3,B,20,20,20.01,2.995732274,2.996232149,1,,
2007,10,18,4,65,5,3,B,,0,0.01,,-4.605170186,0,,
2007,10,18,4,60,4,3,B,45,45,45.01,3.80666249,3.806884687,1,,
2007,10,18,4,50.5,4,3,B,29.1,29.1,29.11,3.370738174,3.371081758,1,,
2007,10,19,4,70,5,3,B,2.4,2.4,2.41,0.875468737,0.879626748,1,,
2007,10,20,4,80,6,4,B,25,25,25.01,3.218875825,3.219275745,1,,
2007,10,31,4,55,4,3,B,13.5,13.5,13.51,2.602689685,2.603430152,1,,
2007,10,31,4,38,2,2,B,4.5,4.5,4.51,1.504077397,1.506297154,1,,
2007,10,31,4,65,5,3,B,6.8,6.8,6.81,1.916922612,1.91839212,1,,
2007,10,31,4,42,3,2,B,16.2,16.2,16.21,2.785011242,2.785628336,1,,
2007,10,31,4,67,5,3,B,15,15,15.01,2.708050201,2.708716646,1,,
2007,10,31,4,54,4,3,B,7,7,7.01,1.945910149,1.947337701,1,,
2007,11,3,4,57,4,3,B,15,15,15.01,2.708050201,2.708716646,1,,
2007,11,3,4,54,4,3,B,10,10,10.01,2.302585093,2.303584593,1,,
2007,11,3,4,50.5,4,3,B,4.2,4.2,4.21,1.435084525,1.437462648,1,,
2007,11,5,4,65,5,3,B,6.4,6.4,6.41,1.85629799,1.857859271,1,,
2007,11,5,4,57,4,3,B,20,20,20.01,2.995732274,2.996232149,1,,
2007,11,5,4,60,4,3,B,17.2,17.2,17.21,2.844909384,2.84549061,1,,
2007,11,5,4,76,6,4,B,35,35,35.01,3.555348061,3.555633735,1,,
2007,11,6,4,53,4,3,B,27,27,27.01,3.295836866,3.296207168,1,,
2007,11,6,4,57,4,3,B,20.7,20.7,20.71,3.0301337,3.030616675,1,,
2007,11,6,4,50.5,4,3,B,16.4,16.4,16.41,2.797281335,2.797890905,1,,
2007,11,7,4,38,2,2,B,35,35,35.01,3.555348061,3.555633735,1,,
2007,11,7,4,65,5,3,B,21.6,21.6,21.61,3.072693315,3.073156171,1,,
2007,11,7,4,57,4,3,B,25,25,25.01,3.218875825,3.219275745,1,,
2007,11,7,4,67,5,3,B,12,12,12.01,2.48490665,2.485739636,1,,
2007,11,7,4,50.5,4,3,B,29.7,29.7,29.71,3.391147046,3.391483689,1,,
2007,11,8,4,70,5,3,B,38,38,38.01,3.63758616,3.637849283,1,,
2007,11,8,4,38,2,2,B,33.6,33.6,33.61,3.514526067,3.514823642,1,,
2007,11,8,4,38.8,2,2,B,14.7,14.7,14.71,2.687847494,2.688527535,1,,
2007,11,8,4,23,1,1,B,28.6,28.6,28.61,3.353406718,3.353756307,1,,
2007,11,8,4,38,2,2,B,26.3,26.3,26.31,3.269568939,3.269949095,1,,
2007,11,8,4,42,3,2,B,39.6,39.6,39.61,3.678829118,3.679081612,1,,
2007,11,8,4,67,5,3,B,38,38,38.01,3.63758616,3.637849283,1,,
2007,11,8,4,54,4,3,B,26.3,26.3,26.31,3.269568939,3.269949095,1,,
2007,11,9,4,65,5,3,B,14.6,14.6,14.61,2.681021529,2.681706226,1,,
2007,11,10,4,38,2,2,B,0.9,0.9,0.91,-0.105360516,-0.094310679,1,,
2007,11,10,4,65,5,3,B,,0,0.01,,-4.605170186,0,,
2007,11,10,4,23,1,1,B,8,8,8.01,2.079441542,2.080690761,1,,
2007,11,10,4,76,6,4,B,16.1,16.1,16.11,2.778819272,2.779440197,1,,
2007,11,10,4,50.5,4,3,B,6.4,6.4,6.41,1.85629799,1.857859271,1,,
2007,11,12,4,35,2,2,B,26,26,26.01,3.258096538,3.258481079,1,,
2007,11,12,4,38,2,2,B,34.3,34.3,34.31,3.535145354,3.535436857,1,,
2007,11,12,4,65,5,3,B,7,7,7.01,1.945910149,1.947337701,1,,
2007,11,12,4,65,5,3,B,10,10,10.01,2.302585093,2.303584593,1,,
2007,11,12,4,57,4,3,B,30,30,30.01,3.401197382,3.401530659,1,,
2007,11,12,4,23,1,1,B,15.4,15.4,15.41,2.734367509,2.735016649,1,,
2007,11,12,4,38,2,2,B,22,22,22.01,3.091042453,3.091496896,1,,
2007,11,12,4,67,5,3,B,16.8,16.8,16.81,2.821378886,2.821973947,1,,
2007,11,12,4,76,6,4,B,43.2,43.2,43.21,3.765840495,3.76607195,1,,
2007,11,12,4,54,4,3,B,42.7,42.7,42.71,3.75419892,3.754433085,1,,
2007,11,12,4,50.5,4,3,B,35,35,35.01,3.555348061,3.555633735,1,,
2007,11,13,4,35,2,2,B,26.3,26.3,26.31,3.269568939,3.269949095,1,,
2007,11,13,4,65,5,3,B,5.2,5.2,5.21,1.648658626,1.650579856,1,,
2007,11,13,4,57,4,3,B,35,35,35.01,3.555348061,3.555633735,1,,
2007,11,13,4,23,1,1,B,14.1,14.1,14.11,2.646174797,2.646883766,1,,
2007,11,13,4,67,5,3,B,14.4,14.4,14.41,2.667228207,2.66792241,1,,
2007,11,13,4,76,6,4,B,48.4,48.4,48.41,3.879499814,3.879706404,1,,
2007,11,13,4,54,4,3,B,45,45,45.01,3.80666249,3.806884687,1,,
2007,11,13,4,50.5,4,3,B,35,35,35.01,3.555348061,3.555633735,1,,
2007,11,14,4,55,4,3,B,35,35,35.01,3.555348061,3.555633735,1,,
2007,11,14,4,55,4,3,B,35,35,35.01,3.555348061,3.555633735,1,,
2007,11,14,4,35,2,2,B,24.4,24.4,24.41,3.194583132,3.194992884,1,,
2007,11,14,4,38,2,2,B,10,10,10.01,2.302585093,2.303584593,1,,
