COD_BARCO,NOMBRE_BARCO,CAPACIDAD_BODEGA,TIPO_EMB,TIPO_FLOTA,FECHA_HORA_RECALADA,FECHA_HORA_ZARPE,D-H-M-S,PUERTO_ZARPE,PUERTO_RECALADA,PLANTA_ARRIBO,COD_PESQUERIA,FECHA_LANCE,NUMERO_LANCES_T,LATITUD,LONGITUD,PESO_TOTAL_CAPTURA,COD_ESPECIE,VOLUMEN,PESO,PESO_ton,ZONA,REGION,AÑO,MES,DIA,AREA ,TRIMESTRE,ORIGEN_VIAJE ,Actividad del viaje
940583,DON EDUARDO II,59.76,LM,ART,27-09-2005 6:30,26-09-2005 16:30,00-14:00:00,43,43,,21,27-09-2005 0:50,1,413727,730325,15000,93,15,15000,15,9,10,2005,9,27,B,3,1,
700624,LA CAMPARI II,35,LM,ART,03-10-2005 7:06,02-10-2005 17:31,00-13:35:00,43,43,43860,21,03-10-2005 4:05,2,414713,731655,4000,93,1,700,0.7,9,10,2005,10,3,B,3,1,
700624,LA CAMPARI II,35,LM,ART,03-10-2005 7:06,02-10-2005 17:31,00-13:35:00,43,43,43860,21,02-10-2005 21:45,1,414718,731650,4000,93,1,500,0.5,9,10,2005,10,3,B,3,1,
940579,ROCANI,55.08,LM,ART,24-10-2005 6:40,23-10-2005 17:45,00-12:55:00,43,43,,21,24-10-2005 0:35,2,415314,732518,40000,93,25,25000,25,9,10,2005,10,24,A,3,1,
940579,ROCANI,55.08,LM,ART,24-10-2005 6:40,23-10-2005 17:45,00-12:55:00,43,43,,21,23-10-2005 21:50,1,415449,732634,40000,93,15,15000,15,9,10,2005,10,24,A,3,1,
940582,ANTARES II,73.19,LM,ART,07-11-2005 8:00,05-11-2005 17:40,01-14:20:00,43,43,,21,06-11-2005 1:29,2,415455,732347,30000,93,30,30000,30,9,10,2005,11,7,A,4,1,
910691,DON ANGEL,56,LM,ART,27-04-2006 8:30,26-04-2006 17:15,00-15:15:00,6040,6040,,21,27-04-2006 8:30,1,421125,731929,10000,93,10,10000,10,9,10,2006,4,27,D,1,1,
940581,DON JOSE,61.03,LM,ART,28-04-2006 9:00,27-04-2006 17:00,00-16:00:00,6040,6040,,21,28-04-2006 5:05,1,421148,731952,80000,93,80,80000,80,9,10,2006,4,28,D,1,1,
940581,DON JOSE,61.03,LM,ART,29-04-2006 7:45,28-04-2006 18:15,00-13:30:00,6040,6040,,21,29-04-2006 0:30,1,423227,732850,60000,93,50,50000,50,9,10,2006,4,29,G,1,1,
940581,DON JOSE,61.03,LM,ART,29-04-2006 7:45,28-04-2006 18:15,00-13:30:00,6040,6040,,21,29-04-2006 6:10,2,422401,732644,60000,93,10,10000,10,9,10,2006,4,29,D,1,1,
940581,DON JOSE,61.03,LM,ART,30-04-2006 6:30,29-04-2006 19:05,00-11:25:00,6040,6040,,21,30-04-2006 4:30,1,425251,733304,10000,93,10,10000,10,9,10,2006,4,30,G,1,1,
940582,ANTARES II,70,LM,ART,20-01-2007 4:30,19-01-2007 16:00,00-12:30:00,6040,,,,,,421030,732400,55000,93,55,55000,55,9,10,2007,1,20,D,1,1,
940960,ANTARES III,53,LM,ART,20-01-2007 4:30,19-01-2007 16:00,00-12:30:00,6040,,,,,,421030,732400,55000,93,55,55000,55,9,10,2007,1,20,D,1,1,
709019,PACIFICO ALFA,76,LM,ART,20-01-2007 7:00,19-01-2007 17:00,00-14:00:00,944,,,,,1,420890,732600,65320,93,65,65320,65.32,9,10,2007,1,20,D,1,1,
940583,DON EDUARDO II,65,LM,ART,20-01-2007 7:50,19-01-2007 17:30,00-14:20:00,6040,,,,,,414730,732100,55000,93,55,55000,55,9,10,2007,1,20,A,1,1,
940954,PILFICAN II,70,LM,ART,20-01-2007 7:40,19-01-2007 16:00,00-15:40:00,6040,,,,,,421707,731953,70000,93,70,70000,70,9,10,2007,1,20,D,1,1,
700627,DON DIEGO II,65,LM,ART,20-01-2007 10:00,19-01-2007 17:00,00-17:00:00,6040,,,,,,420800,732900,50000,93,50,50000,50,9,10,2007,1,20,D,1,1,
940962,SANTA MARIA B,50.5,LM,ART,20-01-2007 8:00,19-01-2007 15:00,00-17:00:00,59,,,,,,420600,732300,32000,93,32,32000,32,9,10,2007,1,20,D,1,1,
