,AÑO,catch,catchsd,catchn,catche,catchl,catchr
1,2005,14.4,12.14358541,6,9.7167135,4.649953167,24.08338017
2,2006,32.0,31.93743885,5,27.99388504,4.006114964,59.99388504
3,2007,30.7,18.18594371,1444,0.937994597,29.73889598,31.61488518
4,2008,28.0,18.09170884,1363,0.96046104,27.0623284,28.98325047
5,2009,30.2,18.46752638,1608,0.902638382,29.31412716,31.11940393
6,2010,19.3,16.03110235,1061,0.9646145,18.36237796,20.29160696
7,2011,21.6,16.55724266,664,1.259366292,20.31337467,22.83210726
8,2012,16.0,16.31049565,657,1.247189842,14.78449661,17.2788763
9,2013,35.3,17.42012637,69,4.110312547,31.17847006,39.39909516
10,2014,37.4,24.35367072,139,4.048602329,33.32287969,41.42008434
11,2015,37.7,23.49544266,162,3.618047093,34.04287883,41.27897302
12,2016,29.4,22.1375596,69,5.223400052,24.21355647,34.66035657
13,2017,20.7,20.98358073,65,5.101184282,15.61492341,25.81729197
14,2018,23.0,19.75927976,83,4.25089282,18.76549272,27.26727836
15,2019,26.3,22.64858976,175,3.355600357,22.97398936,29.68519007
