vcp,norte,centro,sur,total,,,,,,
2005,6,0,0,6,,,,,,
2006,0,3,2,5,,,,,,dif
2007,651,609,184,1444,768,672,186,1626,,182
2008,926,417,20,1363,1090,477,22,1589,,226
2009,1334,274,0,1608,1629,295,0,1924,,316
2010,944,94,23,1061,1141,109,24,1274,,213
2011,419,112,133,664,576,116,133,825,,161
2012,200,422,35,657,240,442,31,713,,56
2013,14,32,23,69,15,46,30,91,,22
2014,86,43,10,139,97,52,15,164,,25
2015,60,96,6,162,60,95,3,158,,-4
2016,40,16,13,69,40,16,12,68,,-1
2017,35,13,17,65,34,12,17,63,,-2
2018,13,38,32,83,20,60,45,125,,42
2019,13,115,47,175,19,129,60,208,,33
