,Zonapesca,AÑO,catch,catchsd,catchn,catche,catchl,catchr,,,,,,,,,,,
1,1,2005,14.36666667,12.14358541,6,9.7167135,4.649953167,24.08338017,,,,,,,,,,,
2,1,2007,23.3958679,16.81949218,651,1.292023688,22.10384421,24.68789158,,,Bitácora,,,,Informe,,,,
3,1,2008,23.42170842,17.42157501,926,1.122095996,22.29961243,24.54380442,,Año,Norte,Centro,Sur,Total,Norte,Centro,Sur,Total,Dif
4,1,2009,29.75354123,18.535331,1334,0.994650539,28.75889069,30.74819177,,2007,651,609,184,1444,768,672,186,1626,182
5,1,2010,19.51502542,16.14978822,944,1.030217506,18.48480792,20.54524293,,2008,926,417,20,1363,1090,477,22,1589,226
6,1,2011,17.36217184,15.28552593,419,1.463596849,15.89857499,18.82576869,,2009,1334,274,0,1608,1629,295,0,1924,316
7,1,2012,13.80489,13.25545236,200,1.837078213,11.96781179,15.64196821,,2010,944,94,23,1061,1141,109,24,1274,213
8,1,2013,25.29678571,16.22382266,14,8.49840186,16.79838385,33.79518757,,2011,419,112,133,664,576,116,133,825,161
9,1,2014,31.21193023,23.66999674,86,5.002614799,26.20931543,36.21454503,,2012,200,422,35,657,240,442,31,713,56
10,1,2015,25.03433333,21.06511562,60,5.330111733,19.7042216,30.36444507,,2013,14,32,23,69,15,46,30,91,22
11,1,2016,27.77675,21.48167453,40,6.657117578,21.11963242,34.43386758,,2014,86,43,10,139,97,52,15,164,25
12,1,2017,12.22425714,15.22328554,35,5.043388946,7.180868197,17.26764609,,2015,60,96,6,162,60,95,3,158,-4
13,1,2018,14.83076923,16.43389255,13,8.933401598,5.897367633,23.76417083,,2016,40,16,13,69,40,16,12,68,-1
14,1,2019,13.33309231,22.90124429,13,12.44902945,0.88406286,25.78212176,,2017,35,13,17,65,34,12,17,63,-2
15,1,2020,43.38095238,23.52140768,21,10.06008738,33.320865,53.44103976,,2018,13,38,32,83,20,60,45,125,42
16,2,2006,33.33333333,40.41451884,3,45.73249297,-12.39915964,79.06582631,,2019,13,115,47,175,19,129,60,208,33
17,2,2007,34.92760099,17.91508296,609,1.422847216,33.50475377,36.3504482,,2020,21,60,101,182,-,-,-,-,-
18,2,2008,37.50297362,15.11690862,417,1.450918611,36.05205501,38.95389223,,Total,4756,2341,644,7741,5729,2521,578,8828,1269
19,2,2009,32.47202555,17.99707524,274,2.130957273,30.34106827,34.60298282,,,,,,,,,,,
20,2,2010,15.11367021,13.34309139,94,2.697370632,12.41629958,17.81104084,,,,,,,,,,,
21,2,2011,23.49241071,16.31861178,112,3.022193662,20.47021705,26.51460438,,,,,,,,,,,
22,2,2012,15.67701422,16.47186364,422,1.571573163,14.10544106,17.24858738,,Año,Norte,Centro,Sur,Total,Sum Captura,vcp,cpue (ton/vcp),,
23,2,2013,33.891125,17.5352962,32,6.075558517,27.81556648,39.96668352,,2005,14,,,14,86,6,14.4,,
24,2,2014,46.3955814,23.27824207,43,6.957673474,39.43790792,53.35325487,,2006,,33,30,63,160,5,32,,
25,2,2015,45.96833333,21.76335334,96,4.353497383,41.61483595,50.32183072,,2007,23,35,42,101,44297,1444,30.7,,
26,2,2016,34.0675,24.96189296,16,12.2311028,21.8363972,46.2986028,,2008,23,38,43,104,38195,1363,28,,
27,2,2017,22.74307692,23.01093486,13,12.50865683,10.2344201,35.25173375,,2009,30,32,,62,48589,1608,30.2,,
28,2,2018,21.22563158,19.39090733,38,6.165302975,15.0603286,27.39093455,,2010,20,15,29,63,20506,1061,19.3,,
29,2,2019,24.77077391,21.16861197,115,3.868936065,20.90183785,28.63970998,,2011,17,23,33,74,14324,664,21.6,,
30,2,2020,50.40833333,19.7832517,60,5.00576137,45.40257196,55.4140947,,2012,14,16,33,63,10533,657,16,,
31,3,2006,30,28.28427125,2,39.19927969,-9.199279691,69.19927969,,2013,25,34,43,103,2435,69,35.3,,
32,3,2007,42.36853804,12.2707205,184,1.773002074,40.59553597,44.14154012,,2014,31,46,52,129,5195,139,37.4,,
33,3,2008,43.391,20.74794344,20,9.093020046,34.29797995,52.48402005,,2015,25,46,31,102,6101,162,37.7,,
34,3,2010,28.82913043,16.69315508,23,6.822171001,22.00695943,35.65130144,,2016,28,34,29,91,2031,69,29.4,,
35,3,2011,33.22105263,14.7313784,133,2.503604109,30.71744852,35.72465674,,2017,12,23,37,72,1347,65,20.7,,
36,3,2012,33.03257143,20.41043899,35,6.761863733,26.2707077,39.79443516,,2018,15,21,28,65,1910,83,23,,
37,3,2013,43.31543478,14.67743079,23,5.998383303,37.31705148,49.31381809,,2019,13,25,34,72,4608,175,26.3,,
38,3,2014,51.54,17.30229272,10,10.72387507,40.81612493,62.26387507,,2020,43,50,47,141,8719,182,47.9,,
39,3,2015,31.00833333,15.77581746,6,12.62305104,18.38528229,43.63138438,,,,,,,,,,,
40,3,2016,28.84615385,21.45447177,13,11.6625694,17.18358445,40.50872325,,,,,,,,,,,
41,3,2017,36.64929412,20.99606192,17,9.980710879,26.66858324,46.630005,,,,,,,,,,,
42,3,2018,28.4683125,20.41345143,32,7.0727701,21.3955424,35.5410826,,,,,,,,,,,
43,3,2019,33.73848936,24.14695527,47,6.903376181,26.83511318,40.64186554,,,,,,,,,,,
44,3,2020,47.36516337,22.56708488,101,4.401116519,42.96404685,51.76627989,,,,,,,,,,,
