"","AÑO","catch","catchsd","catchn","catche","catchl","catchr"
"1","2005",86.2,12.1435854123346,6,9.71671349981589,76.4832865001841,95.9167134998159
"2","2006",160,31.9374388453426,5,27.9938850362289,132.006114963771,187.993885036229
"3","2007",44297.43,18.1859437104822,1444,0.937994597300467,44296.4920054027,44298.3679945973
"4","2008",38195.062,18.0917088386861,1363,0.960461039910306,38194.1015389601,38196.0224610399
"5","2009",48588.559,18.4675263786664,1608,0.902638382402277,48587.6563616176,48589.4616383824
"6","2010",20505.939,16.0311023504824,1061,0.964614500074064,20504.9743854999,20506.9036145001
"7","2011",14324.3,16.5572426571094,664,1.25936629249477,14323.0406337075,14325.5593662925
"8","2012",10532.818,16.3104956480692,657,1.24718984187137,10531.5708101581,10534.0651898419
"9","2013",2434.926,17.4201263687163,69,4.11031254722377,2430.81568745278,2439.03631254722
"10","2014",5194.636,24.3536707170893,139,4.04860232887916,5190.58739767112,5198.68460232888
"11","2015",6101.07,23.4954426611931,162,3.61804709321511,6097.45195290678,6104.68804709321
"12","2016",2031.15,22.1375595993052,69,5.22340005232942,2025.92659994767,2036.37340005233
"13","2017",1346.547,20.9835807315231,65,5.10118428168006,1341.44581571832,1351.64818428168
"14","2018",1910.36,19.7592797605182,83,4.25089282026293,1906.10910717974,1914.61089282026
"15","2019",4607.6782,22.6485897571405,175,3.35560035737119,4604.32259964263,4611.03380035737
"16","2020",8719.3815,21.7873891935525,182,3.16531975634174,8716.21618024366,8722.54681975634
