"","ano","catch","catchsd","catchn","catche","catchl","catchr"
"1",2007,44844.9,18.2562855150053,1626,0.887360800268878,44844.0126391997,44845.7873608003
"2",2008,38200.7,18.0914101241071,1589,0.889525825487989,38199.8104741745,38201.5895258255
"3",2009,48596.7,18.4672926672978,1924,0.82518018179979,48595.8748198182,48597.5251801818
"4",2010,20525.9,16.0259554635122,1274,0.880009394595916,20525.0199906054,20526.7800093946
"5",2011,14327.65,16.5561603798807,825,1.1297458157721,14326.5202541842,14328.7797458158
"6",2012,10666.4,16.3587743544476,713,1.20075412725783,10665.1992458727,10667.6007541273
"7",2013,2557.99,19.3328850435396,101,3.77037088130295,2554.2196291187,2561.7603708813
"8",2014,5860.044,23.7282319581632,167,3.59877947297992,5856.44522052702,5863.64277947298
"9",2015,5915.43,23.5787581237056,158,3.67654998560765,5911.75345001439,5919.10654998561
"10",2016,2031.15,22.1375595993052,69,5.22340005232942,2025.92659994767,2036.37340005233
"11",2017,1384.68,20.9047856624858,63,5.16206579099768,1379.517934209,1389.842065791
"12",2018,1958.09666,19.2404617136206,128,3.33317868389504,1954.7634813161,1961.4298386839
"13",2019,4698.36224,22.4973285719808,232,2.89490988876069,4695.46733011124,4701.25714988876
"14",2020,8719.3815,21.7873891935525,182,3.16531975634174,8716.21618024366,8722.54681975634
